epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5467,0.69367,3.86695,1.38654,0.06098,0.71332,0.19312,0.14964,0.70541,3.44851,1.35574,0.000137195,0.000137195,0.000137195
2,68.6493,0.59869,3.0837,1.29354,0.65286,0.30672,0.38933,0.2631,1.18042,2.45632,1.8021,0.00027346,0.00027346,0.00027346
3,90.4601,0.61362,2.30273,1.28797,0.36243,0.4871,0.40841,0.30726,0.89407,2.10851,1.62895,0.000406974,0.000406974,0.000406974
4,112.334,0.61537,1.91714,1.29292,0.41224,0.51975,0.54871,0.41304,0.94069,1.86686,1.65966,0.000404615,0.000404615,0.000404615
5,134.009,0.58778,1.67032,1.26078,0.58516,0.56944,0.6165,0.46415,0.95048,2.07829,1.52981,0.000400487,0.000400487,0.000400487
6,155.246,0.56184,1.48257,1.2451,0.6288,0.68248,0.69307,0.54003,0.93625,1.53672,1.56733,0.000396358,0.000396358,0.000396358
7,177.256,0.54018,1.38253,1.23123,0.53425,0.72909,0.71031,0.55445,0.86587,1.48937,1.57146,0.00039223,0.00039223,0.00039223
8,199.208,0.53392,1.30883,1.21861,0.63134,0.70796,0.73205,0.57752,0.83751,1.51949,1.54948,0.000388102,0.000388102,0.000388102
9,220.263,0.53741,1.24083,1.22334,0.64225,0.65381,0.72172,0.50234,1.06528,1.62099,1.67496,0.000383974,0.000383974,0.000383974
10,241.903,0.50443,1.15342,1.19943,0.71281,0.71622,0.78626,0.61048,0.93113,1.34618,1.54545,0.000379845,0.000379845,0.000379845
11,263.646,0.52206,1.1527,1.20938,0.75414,0.73278,0.81551,0.64585,0.83914,1.11606,1.49084,0.000375717,0.000375717,0.000375717
12,284.755,0.52258,1.0828,1.20844,0.70654,0.74499,0.79106,0.64488,0.79864,1.23325,1.48664,0.000371589,0.000371589,0.000371589
13,306.437,0.49794,0.99788,1.18819,0.68191,0.72084,0.7912,0.63772,0.81667,1.18953,1.45106,0.00036746,0.00036746,0.00036746
14,328.684,0.48892,0.98441,1.18804,0.6948,0.74315,0.81196,0.64239,0.88661,1.20909,1.44377,0.000363332,0.000363332,0.000363332
15,349.536,0.50591,0.97032,1.19014,0.70111,0.86249,0.82366,0.64557,0.83572,1.02459,1.43494,0.000359204,0.000359204,0.000359204
16,371.259,0.49482,0.92951,1.18239,0.71659,0.71355,0.78195,0.61686,0.82877,1.21489,1.36928,0.000355076,0.000355076,0.000355076
17,393.766,0.47841,0.91485,1.17567,0.79204,0.81286,0.8425,0.69617,0.71446,0.9322,1.33785,0.000350947,0.000350947,0.000350947
18,414.589,0.47446,0.88258,1.17316,0.77982,0.81391,0.86318,0.67828,0.85446,0.94166,1.42601,0.000346819,0.000346819,0.000346819
19,436.577,0.46002,0.85742,1.15682,0.82617,0.79187,0.87452,0.7026,0.77701,0.93785,1.40479,0.000342691,0.000342691,0.000342691
20,458.318,0.45792,0.85639,1.15248,0.56108,0.68328,0.67511,0.54425,0.84869,1.70177,1.53166,0.000338562,0.000338562,0.000338562
21,478.924,0.47114,0.82663,1.16163,0.79211,0.6843,0.78438,0.61751,0.77529,1.1349,1.43588,0.000334434,0.000334434,0.000334434
22,500.612,0.46256,0.7888,1.16179,0.76163,0.83631,0.85001,0.68679,0.82364,1.04328,1.44283,0.000330306,0.000330306,0.000330306
23,522.824,0.46,0.80523,1.1495,0.79776,0.72568,0.80332,0.64876,0.77844,1.17959,1.40684,0.000326177,0.000326177,0.000326177
24,543.523,0.45391,0.77502,1.14742,0.7803,0.70603,0.79085,0.66034,0.71435,1.15463,1.307,0.000322049,0.000322049,0.000322049
25,565.33,0.44184,0.73199,1.14612,0.73408,0.76142,0.80791,0.64856,0.85213,1.05989,1.4196,0.000317921,0.000317921,0.000317921
26,587.032,0.44063,0.7227,1.14254,0.64987,0.76323,0.76001,0.60698,0.87399,1.21149,1.44027,0.000313792,0.000313792,0.000313792
27,608.009,0.42994,0.74008,1.13685,0.75717,0.8063,0.81623,0.65276,0.78808,1.00823,1.3954,0.000309664,0.000309664,0.000309664
28,629.903,0.44136,0.75434,1.15091,0.65055,0.80503,0.81978,0.64011,0.85077,1.08545,1.4507,0.000305536,0.000305536,0.000305536
